COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
CL108130010,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,152,-1.750175074527138,4.288412311382133,-1.76416015625,-0.09463169183567038,-242841.67872875268,-10118.403280364695,-0.08043693806031982,4.5562,487162.02,0.1614,0.0057,0.1615,17253.65,LasTermas_2024,499.2
CL108100003,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,23,-11.65775730298913,3.3553267775086564,-12.62109375,-0.4270457209217701,-287087.4985032537,-11961.979104302236,-0.3629888627835046,4.5562,127622.34,0.1614,0.0256,0.1634,4519.96,LasTermas_2024,499.2
CL108100002,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,0,,,,,,,,4.5562,110499.12,0.1614,0.0,0.1614,3913.51,LasTermas_2024,499.2
CL108100004,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,103,-18.621420851031555,11.5228382874449,-16.447021484375,-0.9903215149813249,-1684804.1049486906,-70200.17103952878,-0.8417732877341262,4.5562,322968.38,0.1614,0.0594,0.172,11438.46,LasTermas_2024,499.2
CL108130008,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,71,-8.628913127200704,4.063859859932191,-7.960205078125,-0.4614063989672054,-549587.2876304053,-22899.470317933552,-0.3921954391221246,4.5562,226120.46,0.1614,0.0277,0.1637,8008.43,LasTermas_2024,499.2
CL108130003,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,32,-10.100250244140625,5.006161358324035,-9.5709228515625,-0.416202537985886,-269626.0366287333,-11234.418192863886,-0.3537721572880031,4.5562,122982.67,0.1614,0.025,0.1633,4355.64,LasTermas_2024,499.2
CL108130007,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,151,-14.595303769143213,7.063579194927344,-14.823486328125,-0.8293431889667922,-1992783.2113959822,-83032.63380816592,-0.7049417106217734,4.5562,456155.14,0.1614,0.0498,0.1689,16155.49,LasTermas_2024,499.2
CL108130006,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,12,-6.212361653645833,1.743764844194684,-5.80517578125,-0.32901342851287,-78538.30289637392,-3272.4292873489135,-0.2796614142359395,4.5562,45316.33,0.1614,0.0197,0.1626,1604.95,LasTermas_2024,499.2
CL108130005,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,21,-8.872732979910714,3.415521436257142,-8.17724609375,-0.48903339017966624,-177226.01449185394,-7384.417270493915,-0.4156783816527163,4.5562,68797.99,0.1614,0.0293,0.164,2436.6,LasTermas_2024,499.2
CL108130004,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,16,-3.467620849609375,2.519289824096802,-3.276123046875,-0.19019215324373673,-51475.89240707328,-2144.8288502947203,-0.16166333025717622,4.5562,51380.47,0.1614,0.0114,0.1618,1819.73,LasTermas_2024,499.2
CL108100005,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,0,,,,,,,,4.5562,59324.13,0.1614,0.0,0.1614,2101.06,LasTermas_2024,499.2
CL108100006,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,0,,,,,,,,4.5562,185692.5,0.1614,0.0,0.1614,6576.61,LasTermas_2024,499.2
CL108101047,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,0,,,,,,,,4.5562,30197.61,0.1614,0.0,0.1614,1069.5,LasTermas_2024,499.2
CL108101046,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,0,,,,,,,,4.5562,28113.37,0.1614,0.0,0.1614,995.68,LasTermas_2024,499.2
CL108130002,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,0,,,,,,,,4.5562,111677.9,0.1614,0.0,0.1614,3955.26,LasTermas_2024,499.2
CL108130001,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,0,,,,,,,,4.5562,44000.63,0.1614,0.0,0.1614,1558.36,LasTermas_2024,499.2
CL108101050,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,0,,,,,,,,4.5562,122311.34,0.1614,0.0,0.1614,4331.86,LasTermas_2024,499.2
CL108105002,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,0,,,,,,,,4.5562,121263.65,0.1614,0.0,0.1614,4294.75,LasTermas_2024,499.2
CL108101048,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,0,,,,,,,,3.813,2131467.94,0.135,0.0,0.135,75489.49,LasTermas_2024,499.2
CL108116003,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,0,,,,,,,,4.5562,144061.64,0.1614,0.0,0.1614,5102.18,LasTermas_2024,499.2
CL108116002,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,0,,,,,,,,4.5562,59334.01,0.1614,0.0,0.1614,2101.41,LasTermas_2024,499.2
CL108116001,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,0,,,,,,,,4.5562,69072.43,0.1614,0.0,0.1614,2446.32,LasTermas_2024,499.2
CL108116005,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,0,,,,,,,,4.5562,81188.81,0.1614,0.0,0.1614,2875.44,LasTermas_2024,499.2
CL108116006,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,0,,,,,,,,4.5562,96354.64,0.1614,0.0,0.1614,3412.56,LasTermas_2024,499.2
CL108116004,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,0,,,,,,,,3.3513,2425114.57,0.1187,0.0,0.1187,85889.47,LasTermas_2024,499.2
CL108101049,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,0,,,,,,,,4.5562,499389.86,0.1614,0.0,0.1614,17686.72,LasTermas_2024,499.2
CL108105003,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,0,,,,,,,,4.5562,812383.51,0.1614,0.0,0.1614,28771.92,LasTermas_2024,499.2
CL108130009,LasTermas_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,70,-23.01294642857143,8.551870079447683,-24.7823486328125,-0.7071939076676799,-1487880.7826119533,-61995.03260883139,-0.6011148215175278,4.5562,399407.69,0.1614,0.0424,0.1668,14145.69,LasTermas_2024,499.2
CL108130010,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,152,-3.8863043534128288,3.842958508903108,-3.831787109375,-0.20172659230054704,-539235.5810395797,-21569.423241583187,-0.17146760345546497,11.2489,1202779.47,0.3825,0.0121,0.3827,40894.5,Pleiades_2025,660.4
CL108100003,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,28,-9.662885393415179,2.4461854241526853,-9.074462890625,-0.3398109946618181,-237961.17244677027,-9518.44689787081,-0.28883934546254536,11.2489,315093.39,0.3825,0.0204,0.383,10713.18,Pleiades_2025,660.4
CL108100002,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,29,-10.271678003771552,7.382933643763286,-9.234619140625,-0.3846278619660138,-233206.97102171715,-9328.278840868687,-0.3269336826711117,11.2489,272816.99,0.3825,0.0231,0.3832,9275.78,Pleiades_2025,660.4
CL108100004,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,103,-12.367839331765778,12.503640631120692,-9.584716796875,-0.6314347322248155,-1119000.8883962547,-44760.03553585019,-0.5367195223910931,11.2489,797393.3,0.3825,0.0379,0.3843,27111.37,Pleiades_2025,660.4
CL108130008,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,71,-7.479330573283451,4.470294205217443,-7.322998046875,-0.3839383359418101,-476368.8013157125,-19054.7520526285,-0.32634758555053855,11.2489,558280.49,0.3825,0.023,0.3832,18981.54,Pleiades_2025,660.4
CL108130003,Pleiades_2025_minus_SRTM_2000,2000,2025,25,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,32,-9.62994384765625,5.609041292058645,-8.7940673828125,-0.38094964919171015,-257071.21406294714,-10282.848562517886,-0.32380720181295364,11.2489,303638.26,0.3825,0.0229,0.3831,10323.7,Pleiades_2025,660.4
